stove_height,stove_width,stove_depth,oven_height_ratio,handle_length,glass_thickness,style_variant,burner_count,knob_count,label
0.9139426798457884,0.6075032265668001,0.6412543977553679,0.4834816107223234,0.5709413642492037,0.0235339897484582,2,4,6,1
0.8586938832629416,0.7265765459055811,0.6044695829157105,0.4827956962205405,0.5016065864310087,0.0105307193936772,0,4,6,0
0.9216019612922404,0.8103974920770708,0.6629279731442488,0.517381356942578,0.4334572124691987,0.0273860064158586,0,4,6,2
0.9198139394988226,0.7020751549553975,0.6233219249717672,0.5935819608310171,0.450978363533788,0.0118549168676029,0,4,6,0
0.8858979380484628,0.7031867167436914,0.639678130083302,0.4565175664384646,0.4878274639015527,0.0124965232570641,1,4,6,0
0.8578800198078458,0.6879534844221279,0.6942959699241665,0.5828177621905211,0.4584905078500929,0.0138457718051331,0,4,6,0
0.8545824383655662,0.668369482695464,0.6434081945403161,0.4619687965385441,0.419837265908309,0.0120200285881945,1,4,6,0
0.8953410302368435,0.8502331279922251,0.6243981145734127,0.5032906050341283,0.5510525523133081,0.024036406269171,2,4,6,2
0.9148035385246592,0.7827393017000964,0.6256707972297145,0.5593690196925524,0.3990207481285785,0.0175891088351529,2,4,6,1
0.9188161958433312,0.6658845521910807,0.6486424101622983,0.5652470366388558,0.3667813842647852,0.0264360518801361,1,4,6,2
0.8901164787022329,0.6198565815634641,0.7369704186278317,0.5350770077217754,0.5653742812156928,0.0142525308810828,1,4,6,0
0.8895631901060664,0.8743642769221631,0.6688277778881098,0.4897320249747078,0.423988252308195,0.021227362683263,1,4,6,1
0.9247013811652256,0.7285301481883739,0.6875299387418484,0.5042994665570416,0.6491977333967482,0.0127666348978171,1,4,6,0
0.8590909412173794,0.6141349126274204,0.6164473695525988,0.5441169062554635,0.5876238093088892,0.0184431993359936,0,4,6,1
0.88847673116745,0.7787665285083385,0.6702074831677016,0.487712117997272,0.5159677688645863,0.0288486172275961,2,4,6,2
0.9220721819360194,0.8045131107079724,0.6805455495613193,0.4900237784928814,0.5422885395739424,0.0122310434719175,1,4,6,0
0.865815775434467,0.6009735948305188,0.7083138091964866,0.5579521003328887,0.6415664296610344,0.0252392439810412,2,4,6,2
0.941262783934482,0.8611555709510301,0.644766718717295,0.5458424242299007,0.5326910634314517,0.0130567853709926,0,4,6,0
0.9039379030119624,0.8335879435891675,0.6795530508292766,0.4500857844191915,0.4472468171014019,0.0103895348477166,1,4,6,0
0.9378721877823184,0.8494996588083539,0.6461271188103992,0.4586887749741281,0.6134028797612121,0.0289389889059598,0,4,6,2
0.9231907594844628,0.8448069760260266,0.7466976740516001,0.5299059254294274,0.3877281534561324,0.0231950164549473,2,4,6,1
0.8665126958974128,0.7583021362254763,0.6909890876223943,0.5946544359011183,0.6286740479006531,0.0251053039327161,2,4,6,2
0.8701151063389696,0.6935148873902685,0.7492724034991343,0.547481708645918,0.4814300251743512,0.0203515168207118,0,4,6,1
0.8747905613666007,0.6192077688979034,0.6031551390010588,0.533088228363672,0.5265320343231054,0.0101438167797018,2,4,6,0
0.91311029572701,0.6686825351433463,0.7358130019509193,0.5789453100380619,0.371257204966596,0.0147600926873799,2,4,6,0
0.898541449915049,0.7617701794184264,0.7085028848821456,0.5823574612711107,0.5228634949162699,0.0148599448479144,1,4,6,0
0.9307496997766644,0.6571229743085633,0.6145396221343234,0.5146576773609566,0.4770735869059762,0.0193404933607335,2,4,6,1
0.855417118723217,0.7960366464797375,0.6969269626942477,0.459091901111552,0.5684640765323548,0.0260118502172339,0,4,6,2
0.8748656333920285,0.6570626725322435,0.6672920321749698,0.5132822459751606,0.4335635434000821,0.014996128957642,0,4,6,0
0.8943130745053457,0.8584047314285492,0.6825487968674772,0.4575882494287322,0.649784740523818,0.026720551701599,0,4,6,2
0.9426366983008128,0.8546087203242916,0.6249466665905871,0.5228461688176078,0.4141241897597545,0.018020805850989,0,4,6,1
0.8664637121401526,0.6006466135054279,0.658563263638172,0.5889777110339,0.5855388070382365,0.0157049845789384,2,4,6,0
