table_height,table_width,table_depth,leg_count,leg_thickness,has_apron,style_variant,label
0.701684739151836,0.5225096797004002,0.6375146591845596,3,0.04697689642625719,0,2,1
0.7573672595672217,0.9908298803735147,0.7952462562245198,3,0.04148986097190352,0,0,2
0.6279454084568493,0.5238823727154772,0.5994188253433242,4,0.051022031102034834,1,0,1
0.767344051921372,0.6436933847392011,0.7113071990767512,4,0.04777397499058908,1,0,2
0.4010102138590813,0.5870447391501176,0.9237471831737298,4,0.08035641366371901,1,2,0
0.41865438956926515,1.3300658348253438,0.5394000990392291,4,0.08147023321264973,1,2,0
0.45575872464116296,0.5625996339413668,0.8306316592838551,4,0.08926107603303789,0,0,1
0.5590694237715413,0.9080692721315919,0.9170552133203751,3,0.05850904835584413,0,2,1
0.49683780212701234,1.3429891289412446,0.8240176926232967,3,0.0667069938514854,0,0,1
0.6042431165181137,0.7429530441058502,0.9626955898106089,3,0.07423071254949373,0,0,1
0.8019914267037446,1.2245412206940929,0.7005823935111645,3,0.050549142179316324,1,0,2
0.710491265912184,0.8560687109545978,0.9572737948702718,4,0.04714357952210313,0,0,1
0.7597439401503836,0.9850795607005614,0.8735069058261289,4,0.08489114418012385,1,1,2
0.4706264175365058,1.3977838458455991,0.7547631468382323,3,0.07778910787668689,0,0,1
0.6950953229366995,1.2128714279266677,0.711079983399842,3,0.059238365583725,1,2,1
0.4882777659899972,0.9979033065937587,0.9712154306899049,3,0.07408551845132874,1,2,1
0.5370965101670748,0.7641501157826835,0.5790788771723349,3,0.08769079637605401,1,2,1
0.7690792094786356,0.9569135071438927,0.5532054113988525,4,0.08208346740862335,0,0,2
0.5556526189251314,0.645394132177838,0.9767498738267514,3,0.06994722922301144,1,0,1
0.4115272489264923,0.8266826904628402,0.9926606894719061,4,0.05197261551690294,0,2,0
0.8708221949138968,0.5770881068610909,0.7429952316583068,3,0.08889922468386671,0,0,2
0.7128629525110521,1.3521638117344916,0.5825634794870638,4,0.08821814530037275,0,2,1
0.5214439602154922,1.395634420994805,0.8249390288197267,4,0.08498070423214726,1,0,1
0.4863480875163043,0.5576233066937104,0.5105171300035294,3,0.06942200572051754,0,0,1
0.7393125206016498,0.552986390188691,0.5337001640551537,3,0.08298177001268732,0,2,1
0.48090254890294737,1.1020800004666524,0.6071184036852193,3,0.07616762829404855,1,0,1
0.7815406833599143,1.226747297989979,0.5952049571809388,3,0.07294913747573314,1,1,2
0.5761062518273559,1.2774530735326428,0.5270855936160852,3,0.043030633703850685,1,0,1
0.48676098365615705,0.6711880175967303,0.724306773916566,4,0.049174401789361666,1,0,1
0.830967274738819,0.5678463995368604,0.9040111223658513,3,0.042529416476244065,0,0,2
0.8595018406544702,1.263826160972875,0.583155555301957,4,0.06406792089855197,1,0,2
0.4405504167708398,0.5019398405162838,0.6952108787939066,4,0.05426246144734601,1,0,0
0.45444382699720043,0.6959308085727575,0.5292416460036498,3,0.0773987780189532,0,0,1
0.6712976769524341,0.9525653446275621,0.9263599460241427,3,0.042843978986434224,0,0,1
0.3876867329870858,0.5611647770381815,0.9309096009850647,4,0.04599433069735621,0,2,0
0.6769855344433926,1.0574433592988928,0.7096124576679362,4,0.08673531288682136,0,2,1
0.7439054904341782,0.7148173573542613,0.6978929233956273,4,0.0628612286285226,0,0,1
0.6020570374402223,1.398608996768998,0.9980482239275472,3,0.06688172020508136,1,0,1
0.86329265789654,1.2927777563177956,0.9396351212422713,4,0.05424936956083284,1,2,2
0.736946958798054,1.0505099891533551,0.9936165318157522,3,0.07339316018562918,1,2,1
0.4069725760550163,1.2903142684762328,0.6322329607435638,3,0.07712083419904994,0,1,0
0.5049659493018419,0.6895666893262488,0.6714401438966293,4,0.06527045290489936,1,0,1
0.40076415724200337,0.8812181953073537,0.6383401119861258,3,0.05667782693025441,0,2,0
0.8888888746058597,0.6454237786464976,0.7209177559304253,4,0.06804534323873732,0,0,2
0.8697780164756514,1.1219176613802886,0.5745271427392598,3,0.08172975099430083,0,1,2
0.4200950356051763,0.7774325149371203,0.949490744371295,3,0.08494623182632373,0,2,0
0.4872413565726084,0.592514259504607,0.8900581209357213,4,0.08869185113186445,0,0,1
0.8255331329209802,1.3785854296378663,0.9053858599701985,4,0.04123931809490944,1,1,2
0.7912293264154264,1.2776576255377514,0.9053746582871944,4,0.047959892149036565,0,1,2
0.8296917305983493,1.2727339262040034,0.6112168587728322,4,0.05748292122229593,0,0,2
0.3630154390857983,0.6738168094949377,0.6641309755988533,3,0.08834445520241806,1,1,0
0.7028149562341952,0.8597105459240548,0.9905748435991301,4,0.08696185701623578,0,1,1
0.448212298894855,1.3662808841853997,0.6327331812614843,3,0.06982856274938723,1,2,0
0.7825354980120252,0.8927544954835471,0.992117924658295,3,0.05925977166723636,0,1,2
0.3744125935422771,0.892451763909475,0.7599601742832927,3,0.05821107358906321,0,2,0
0.8564239709199222,1.0608398689517682,0.8316937381327721,3,0.07598771315069751,1,2,2
0.5201065642147593,0.8675536177572951,0.7012001935288623,4,0.06772062388333969,0,1,1
0.7157111888170243,0.8412307494102875,0.874067280079445,3,0.07077574579756903,1,1,1
0.6513654672246341,0.5003653457275588,0.6434568584344635,4,0.07928794137387901,1,1,1
0.5929823092608741,1.10806450987109,0.7555869984372936,3,0.07294253724992109,1,2,1
0.7151196099677493,1.0573347248261378,0.5466936000377813,3,0.07363978352785835,0,0,1
0.431044679235175,0.5415923462834826,0.9919680113909257,3,0.06277080841900445,0,2,0
0.7329948377697777,0.9449394521093932,0.6219922197892194,3,0.08463299131056833,0,1,1
0.4703626252467757,1.2236988705558285,0.8479558882041192,4,0.04251091925703205,0,0,1
0.6010540040085949,1.221274941550038,0.8337888662931765,4,0.08750198042215779,1,2,1
0.7982535790324261,1.3028182667069164,0.7133703784293277,4,0.0848604051616631,1,1,2
0.49255535165576064,0.7225157637586936,0.8188307183880781,4,0.07133742184908906,1,1,1
0.39261584462560467,0.7571553357768372,0.6358575535410923,4,0.08465134163951583,0,0,0
0.4329568619071976,0.8447317631882043,0.576402633288574,3,0.0432114425356939,1,1,0
0.6484361272771535,0.8741968106928404,0.6034171947572051,4,0.05947384063334706,0,2,1
0.5592095659102414,0.5053064752255938,0.6758794013359124,4,0.08267239752845523,1,2,1
0.761133617937928,0.9915190787604551,0.8016262944706207,3,0.06441147387751252,1,1,2
0.6171030965891753,0.8499714829215153,0.8344368103114586,4,0.07620906888136444,1,0,1
0.8893970876354078,0.9807112665792539,0.9534644312933842,3,0.04419737310810001,1,0,2
0.8267682455773215,0.663556123862089,0.6300781569596523,4,0.050583014210574075,1,1,2
0.7686763393417149,0.8412135940077226,0.8760049117773925,4,0.05261357658911903,0,1,2
0.3606608078775059,0.9854771431302802,0.9999539142546046,4,0.051211108285987406,0,2,0
0.3721419756474216,0.527926998992641,0.6236416518664385,3,0.0710667828293079,0,0,0
0.6104585835203704,0.6029505014983759,0.9738785111083259,4,0.07497324856230754,1,0,1
0.6832409809081712,1.3673612696910877,0.8591786142980041,3,0.08823603865170437,0,2,1
0.3641231340236063,0.7807615199552256,0.8386736434252045,4,0.05983272207583137,0,0,0
0.6756538236874188,1.2475144704022865,0.6214246902685661,4,0.08251466195443981,0,2,1
0.7804494404985608,0.8124833887776041,0.7141890066173722,4,0.04344783682598203,1,0,2
0.8172665948497675,1.2400978262810523,0.5527694353219993,4,0.07177925530507229,1,2,2
0.43414513200162297,0.6585232649774534,0.7608733734692399,4,0.07079561770267755,1,1,0
0.5895659711521418,1.15792359287461,0.6341977690246127,3,0.08153655094453016,0,1,1
0.8348971512015246,0.7194770952718603,0.7323542333016159,4,0.05681983099456876,1,1,2
0.45001192143673047,0.6909078651617651,0.8989161784140483,4,0.053982924401879295,1,2,1
0.3555831129412724,1.353256319999328,0.5428064809790106,4,0.06442889234243937,0,2,0
0.6118512109312906,1.1406581658254504,0.7240872747932854,3,0.044652667527733586,0,1,1
0.730482935412361,0.7755854271170796,0.7907777926661836,4,0.06767364775051248,1,1,1
0.8981473051776326,0.9953496254810107,0.6759052638070842,4,0.053545821348809815,1,0,2
0.41636073661376816,0.6733258641063656,0.5597773706275264,3,0.049577048650527235,1,1,0
0.7485217506011783,1.378946320594751,0.7623184345543039,4,0.08902553152312564,0,1,1
0.47511573991540507,0.661497389316863,0.5070741836280319,3,0.05371556633916336,0,2,1
0.5106751545040277,1.3496806533161665,0.8189348275529638,4,0.045129382339388034,0,2,1
0.5063866299254322,0.9308427877457581,0.6703529662801462,3,0.05262391952464863,1,0,1
0.8021636049146867,0.8606366980267457,0.5370410851278199,3,0.04758635034754782,1,0,2
0.8966549674906211,0.6066064059903155,0.8822217226630971,3,0.07878467698491087,1,1,2
0.8496774076930922,0.7676178192656486,0.7942625693605514,4,0.05526901221596802,0,2,2
0.8780598275888646,0.5893102172973094,0.8813685521773543,3,0.05323230626450037,0,0,2
0.4819258477210808,0.9967930210199831,0.5782663077215691,4,0.06252518523088511,1,1,1
