cabinet_height,cabinet_width,cabinet_depth,wall_thickness,door_type,door_count,style_variant,label
1.7673121581494606,0.6250107552226669,0.4375146591845596,0.022812375835208797,0,1,2,0
1.5063061836223246,0.6297972194380703,0.40931898740180167,0.03268743508361768,0,1,2,0
1.7798613253354278,1.1449414806032165,0.41022031102034834,0.03562429893565681,0,1,2,0
1.5071372777842031,0.8778713416716418,0.4076568810537944,0.04172229451522834,0,1,1,0
1.116059652200157,1.4474943663474598,0.6018630156834455,0.04324948956460331,1,1,1,0
1.09456023769415,0.8931782814070929,0.6143198997472217,0.04599081117778824,1,1,2,0
1.0834661785884891,1.26126331856771,0.6865341703943459,0.04948275322312652,0,1,1,0
1.3335683237321105,1.2356844442644002,0.4824160894850421,0.027956333849090895,0,2,2,1
2.1239855052549927,1.2480353852465935,0.6045655028334941,0.020989852686933395,0,1,1,2
1.4553465301091775,1.5895233506365951,0.6199998799270464,0.03449324103211262,1,1,0,0
1.9861631128081703,1.4050458007712143,0.5005823935111644,0.01731660118240415,1,1,2,2
1.5990775113907327,1.4846831538867025,0.621425935100212,0.020000505665472193,0,1,2,0
1.673641760995781,0.8627416085229352,0.5922929951117702,0.046423800926086695,1,2,0,1
2.1967909335869935,0.7383317448908558,0.5467579174448155,0.04145237551368082,0,1,2,2
1.1919784020669404,1.280481213496327,0.598204515365987,0.0284668559086075,1,2,2,1
2.032935642681398,0.6114810219428196,0.6603609096800973,0.03885986291593012,1,2,0,2
1.3522001543769115,0.7581577543446697,0.30162265805086463,0.040273222145846874,1,1,2,0
2.0951534072137847,1.4705185698367669,0.44922239572431644,0.03736323232031018,0,1,1,2
1.9150129600901815,1.1393790301196258,0.6893132393152791,0.033562378526831214,0,2,1,2
1.0233720908629989,1.529098616264617,0.739360938911592,0.044108293527641285,1,1,0,0
1.2890459109366796,1.16735694368891,0.33937852414568304,0.04061676581956197,0,1,0,0
1.791700987296841,1.5468486797049907,0.3825634794870638,0.03346858255963889,1,1,2,0
1.9063182359629667,1.2898676320996214,0.6564744864095609,0.02896473049991002,1,2,2,2
1.5417833696693557,0.8479056136660079,0.33201294816317245,0.01573619910024706,0,1,0,0
1.0851917032108391,1.2311029572700989,0.4144708919055772,0.04668970045521448,1,1,2,0
1.2856055612427943,1.2689777782962806,0.4071184036852193,0.019630914705375875,1,1,1,0
1.9689963973199722,0.7904099143618777,0.34846540711441165,0.030086791384223214,1,2,1,2
2.036604098043524,0.6541711872321705,0.6267277441328958,0.037616291295324455,0,2,2,2
1.407163126473956,1.4616725363527912,0.4243281669601428,0.021657311795428402,1,1,1,0
1.22018564294468,1.0626280684009672,0.73724297703529,0.017638471093100128,0,1,2,0
2.1991389620952724,1.4360275850799518,0.7844981286423756,0.04742284440528447,0,1,1,2
1.5827693505408622,0.8137472991991817,0.5005201462747263,0.017052238999026262,1,1,1,0
1.3182436698065825,1.3840706019485693,0.5275041836695716,0.029805262009655702,1,1,0,0
1.3560493905934772,1.5687093649691588,0.589590145408128,0.0339768320480996,1,1,0,0
1.7010131133507655,1.1028503829195135,0.7263599460241427,0.020510145477881915,0,1,0,0
1.7140421277400333,1.2752125536040901,0.4176019475004656,0.019196031488149346,0,1,2,0
1.0983800865938507,1.2573731644725226,0.5826134619220447,0.02607294460918545,1,1,2,0
1.8594301609472978,0.838685952615846,0.49789292339562724,0.038509157803598995,1,2,1,2
2.114821998046617,1.5357342874448232,0.3046577284421232,0.03674057394225825,0,1,2,2
1.2557851747204485,0.8652004147504013,0.7666296889968545,0.04583024607902539,0,2,1,1
1.1892961988286783,1.4337449546398071,0.6517699625436855,0.03640872180040826,0,2,2,1
1.124303802301854,1.4781269649735922,0.4322329607435638,0.04613994474519982,0,2,1,1
1.7257957924362688,1.3176121871387978,0.40179865616372645,0.037198328560977795,1,2,1,1
