accuracy,loss,val_accuracy,val_loss
0.7133333086967468,0.7105950713157654,0.9005555510520935,0.3675197958946228
0.9347618818283081,0.242911234498024,0.9494444727897644,0.1687530130147934
0.9580952525138855,0.14000894129276276,0.9594444632530212,0.1176467314362526
0.9671428799629211,0.10561682283878326,0.9644444584846497,0.09531939774751663
0.9726190567016602,0.08601479232311249,0.9733333587646484,0.08001919835805893
0.9776190519332886,0.07353059947490692,0.9744444489479065,0.07121900469064713
0.9798809289932251,0.06421671062707901,0.9777777791023254,0.06521277129650116
0.9816666841506958,0.057753823697566986,0.9783333539962769,0.058419205248355865
0.9845238327980042,0.052332550287246704,0.977222204208374,0.057668182998895645
0.983214259147644,0.049619026482105255,0.9816666841506958,0.05324219539761543
