accuracy,loss,val_accuracy,val_loss
0.9436904788017273,0.1967017650604248,1.0,0.008414280600845814
1.0,0.0036608404479920864,1.0,0.0015720915980637074
1.0,0.0010203527053818107,1.0,0.0006482172757387161
1.0,0.00047900830395519733,1.0,0.0003478582948446274
1.0,0.000275308673735708,1.0,0.0002142855228157714
1.0,0.0001765706983860582,1.0,0.0001434424630133435
1.0,0.00012132078700233251,1.0,0.00010139338701264933
1.0,8.736527524888515e-05,1.0,7.443202048307285e-05
1.0,6.509978993562981e-05,1.0,5.631280509987846e-05
1.0,4.976179116056301e-05,1.0,4.353897747932933e-05
