accuracy,loss,val_accuracy,val_loss
0.836904764175415,0.48993024230003357,0.9722222089767456,0.14281614124774933
0.978690505027771,0.09314123541116714,0.9816666841506958,0.06622742116451263
0.9863095283508301,0.0552787259221077,0.980555534362793,0.05286301672458649
0.989642858505249,0.04194061830639839,0.9861111044883728,0.04197525978088379
0.9902380704879761,0.03460806980729103,0.9833333492279053,0.03610857203602791
0.9910714030265808,0.030670739710330963,0.9866666793823242,0.0313415490090847
0.993571400642395,0.025691037997603416,0.9905555844306946,0.02808002196252346
0.9928571581840515,0.023747023195028305,0.9894444346427917,0.02440468594431877
0.9944047331809998,0.021118443459272385,0.9900000095367432,0.02513923868536949
0.9957143068313599,0.019038058817386627,0.9894444346427917,0.025816626846790314
